Date,Open,High,Low,Close,Adj Close,Volume
2019-03-10,0.030223,0.032716,0.026802,0.027427,0.027427,24679571
2019-03-11,0.027568,0.028994,0.024713,0.024778,0.024778,16558247
2019-03-12,0.024854,0.026673,0.023187,0.025484,0.025484,12289998
2019-03-13,0.025498,0.030590,0.025028,0.025632,0.025632,21116950
2019-03-14,0.025670,0.027187,0.024809,0.025502,0.025502,7976377
2019-03-15,0.025645,0.029833,0.025314,0.029179,0.029179,14744352
2019-03-16,0.029426,0.029426,0.026864,0.028302,0.028302,8011898
2019-03-17,0.028279,0.029244,0.027446,0.028538,0.028538,5821526
2019-03-18,0.028664,0.031740,0.028466,0.031354,0.031354,15067371
2019-03-19,0.031414,0.037150,0.031414,0.034404,0.034404,34229366
2019-03-20,0.034395,0.040031,0.032481,0.039723,0.039723,41010387
2019-03-21,0.040001,0.048559,0.039981,0.046866,0.046866,95897466
2019-03-22,0.047132,0.048588,0.042867,0.043870,0.043870,46740117
2019-03-23,0.043992,0.054409,0.043397,0.053853,0.053853,58706708
2019-03-24,0.053910,0.063604,0.053910,0.056817,0.056817,127916875
2019-03-25,0.057701,0.061499,0.053873,0.056064,0.056064,73075864
2019-03-26,0.055732,0.058731,0.049091,0.051966,0.051966,46967041
2019-03-27,0.051966,0.059034,0.049542,0.059034,0.059034,35758540
2019-03-28,0.059107,0.068682,0.058298,0.066527,0.066527,82195693
2019-03-29,0.066527,0.069277,0.063367,0.064377,0.064377,34943523
2019-03-30,0.064257,0.067477,0.058378,0.062324,0.062324,27864933
2019-03-31,0.062324,0.062545,0.057391,0.060668,0.060668,21218748
2019-04-01,0.060585,0.065719,0.058996,0.064099,0.064099,33939276
2019-04-02,0.064120,0.067330,0.060872,0.063569,0.063569,45610183
2019-04-03,0.063742,0.064118,0.056069,0.058837,0.058837,53001870
2019-04-04,0.058720,0.062512,0.054963,0.060452,0.060452,26672283
2019-04-05,0.060561,0.061206,0.057576,0.060139,0.060139,17890237
2019-04-06,0.060098,0.069345,0.058885,0.066921,0.066921,55385970
2019-04-07,0.066726,0.073501,0.066685,0.067948,0.067948,43198774
2019-04-08,0.067955,0.070666,0.064411,0.067433,0.067433,22594536
2019-04-09,0.067433,0.074140,0.066898,0.068867,0.068867,24224628
2019-04-10,0.068849,0.073068,0.066947,0.067383,0.067383,19674375
2019-04-11,0.067191,0.068524,0.057057,0.062021,0.062021,27381326
2019-04-12,0.062145,0.066081,0.058653,0.064971,0.064971,16897087
2019-04-13,0.064974,0.065971,0.060606,0.064036,0.064036,10076461
2019-04-14,0.064036,0.064738,0.061366,0.061756,0.061756,9075438
2019-04-15,0.061756,0.062059,0.054746,0.058862,0.058862,14048942
2019-04-16,0.058928,0.059570,0.056011,0.058378,0.058378,11786636
2019-04-17,0.058311,0.061426,0.055895,0.059687,0.059687,14061499
2019-04-18,0.059816,0.060018,0.053790,0.058255,0.058255,14562811
2019-04-19,0.058228,0.068961,0.056373,0.066267,0.066267,42928418
2019-04-20,0.066267,0.071408,0.064634,0.065265,0.065265,34195444
2019-04-21,0.065369,0.067284,0.061098,0.063097,0.063097,15204758
2019-04-22,0.063347,0.063742,0.058239,0.061993,0.061993,12660192
2019-04-23,0.062007,0.063269,0.061279,0.062037,0.062037,12240268
2019-04-24,0.062037,0.065328,0.054784,0.056848,0.056848,17323259
2019-04-25,0.056857,0.059745,0.051788,0.051973,0.051973,11034890
2019-04-26,0.052135,0.056344,0.049898,0.052593,0.052593,12667171
2019-04-27,0.052588,0.056685,0.052430,0.055445,0.055445,7384671
2019-04-28,0.055421,0.055847,0.052428,0.053486,0.053486,7169633
2019-04-29,0.053535,0.053576,0.046702,0.047252,0.047252,14693469
2019-04-30,0.047225,0.050581,0.043669,0.050581,0.050581,18669117
2019-05-01,0.050581,0.055459,0.050581,0.052260,0.052260,16741574
2019-05-02,0.052366,0.052413,0.049717,0.051250,0.051250,11481842
2019-05-03,0.051148,0.052440,0.048825,0.050279,0.050279,9624440
2019-05-04,0.050279,0.050487,0.045964,0.049230,0.049230,10018862
2019-05-05,0.049209,0.051725,0.048107,0.049718,0.049718,8133302
